Country,SatisfactionResponse,QuestionNumber,QuestionString,QuestionResponse,Count
Ecuador,-0.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.416666667,12
Ecuador,-0.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,-0.166666667,12
Ecuador,-0.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,0.416666667,12
Ecuador,-0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,-0.333333333,12
Ecuador,-0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,-0.583333333,12
Ecuador,-0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,-0.166666667,12
Ecuador,-0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,-0.583333333,12
Ecuador,-0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,-0.5,12
Ecuador,-0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,-0.666666667,12
Ecuador,0.5,Q03,Vol_Resourceful,1.055555556,18
Ecuador,0.5,Q04,Vol_Patient,0.833333333,18
Ecuador,0.5,Q05,Vol_Culturally_Competent,0.888888889,18
Ecuador,0.5,Q06,Vol_Adaptable,1.111111111,18
Ecuador,0.5,Q07,Vol_Emotionally_Intelligent,0.944444444,18
Ecuador,0.5,Q08,Vol_Resilient,0.888888889,18
Ecuador,0.5,Q09,Professional_Learning_Communities,-0.388888889,18
Ecuador,0.5,Q10,The_Five_Step_Lesson_Plan_Template,0.222222222,18
Ecuador,0.5,Q11,Data_Analysis_Tool,-0.666666667,18
Ecuador,0.5,Q12,Professional_Development_Modules_Scholarly_Articles,-0.333333333,18
Ecuador,0.5,Q13,WorldTeachNet	Education,-0.166666667,18
Ecuador,0.5,Q14,FD_Was_accessible_and_eager_to_help,1.055555556,18
Ecuador,0.5,Q15,FD_Responded_promptly_to_requests_for_help,1.055555556,18
Ecuador,0.5,Q16,FD_Anticipated_needs_of_volunteers,0.722222222,18
Ecuador,0.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,1.055555556,18
Ecuador,0.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,1.055555556,18
Ecuador,0.5,Q20,The_site_visit_was_useful_to_me,0.527777778,18
Ecuador,0.5,Q21,SV_FS_me_feel_supported,0.638888889,18
Ecuador,0.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,0.694444444,18
Ecuador,0.5,Q23,I_felt_safe_in_my_home,1.055555556,18
Ecuador,0.5,Q24,Q24_andI_felt_safe_in_my_community,0.888888889,18
Ecuador,0.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,0.777777778,18
Ecuador,0.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,0.611111111,18
Ecuador,0.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.722222222,18
Ecuador,0.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.055555556,18
Ecuador,0.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.833333333,18
Ecuador,0.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.555555556,18
Ecuador,0.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1,18
Ecuador,0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.388888889,18
Ecuador,0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,0.166666667,18
Ecuador,0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,0.444444444,18
Ecuador,0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,0.666666667,18
Ecuador,0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,0.333333333,18
Ecuador,0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,0.444444444,18
Ecuador,1.5,Q03,Vol_Resourceful,1.136363636,11
Ecuador,1.5,Q04,Vol_Patient,1.409090909,11
Ecuador,1.5,Q05,Vol_Culturally_Competent,1.318181818,11
Ecuador,1.5,Q06,Vol_Adaptable,1.227272727,11
Ecuador,1.5,Q07,Vol_Emotionally_Intelligent,1.227272727,11
Ecuador,1.5,Q08,Vol_Resilient,1.045454545,11
Ecuador,1.5,Q09,Professional_Learning_Communities,-0.409090909,11
Ecuador,1.5,Q10,The_Five_Step_Lesson_Plan_Template,0.772727273,11
Ecuador,1.5,Q11,Data_Analysis_Tool,-0.409090909,11
Ecuador,1.5,Q12,Professional_Development_Modules_Scholarly_Articles,0.136363636,11
Ecuador,1.5,Q13,WorldTeachNet	Education,-0.136363636,11
Ecuador,1.5,Q14,FD_Was_accessible_and_eager_to_help,1.318181818,11
Ecuador,1.5,Q15,FD_Responded_promptly_to_requests_for_help,1.318181818,11
Ecuador,1.5,Q16,FD_Anticipated_needs_of_volunteers,1.136363636,11
Ecuador,1.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,1.136363636,11
Ecuador,1.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,1.5,11
Ecuador,1.5,Q20,The_site_visit_was_useful_to_me,0.363636364,11
Ecuador,1.5,Q21,SV_FS_me_feel_supported,0.636363636,11
Ecuador,1.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,0.545454545,11
Ecuador,1.5,Q23,I_felt_safe_in_my_home,1.409090909,11
Ecuador,1.5,Q24,Q24_andI_felt_safe_in_my_community,1.045454545,11
Ecuador,1.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,0.863636364,11
Ecuador,1.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,0.954545455,11
Ecuador,1.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.954545455,11
Ecuador,1.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.045454545,11
Ecuador,1.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.954545455,11
Ecuador,1.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.681818182,11
Ecuador,1.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1.409090909,11
Ecuador,1.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.590909091,11
Ecuador,1.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,0.772727273,11
Ecuador,1.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,0.772727273,11
Ecuador,1.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,0.954545455,11
Ecuador,1.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,0.590909091,11
Ecuador,1.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,0.681818182,11
Marshall Islands,-0.5,Q03,Vol_Resourceful,1,4
Marshall Islands,-0.5,Q04,Vol_Patient,0.75,4
Marshall Islands,-0.5,Q05,Vol_Culturally_Competent,0.75,4
Marshall Islands,-0.5,Q06,Vol_Adaptable,1.25,4
Marshall Islands,-0.5,Q07,Vol_Emotionally_Intelligent,0.5,4
Marshall Islands,-0.5,Q08,Vol_Resilient,0.75,4
Marshall Islands,-0.5,Q09,Professional_Learning_Communities,-0.5,4
Marshall Islands,-0.5,Q10,The_Five_Step_Lesson_Plan_Template,0,4
Marshall Islands,-0.5,Q11,Data_Analysis_Tool,-0.75,4
Marshall Islands,-0.5,Q12,Professional_Development_Modules_Scholarly_Articles,-0.5,4
Marshall Islands,-0.5,Q13,WorldTeachNet	Education,-0.75,4
Marshall Islands,-0.5,Q14,FD_Was_accessible_and_eager_to_help,-1.25,4
Marshall Islands,-0.5,Q15,FD_Responded_promptly_to_requests_for_help,-0.25,4
Marshall Islands,-0.5,Q16,FD_Anticipated_needs_of_volunteers,-1,4
Marshall Islands,-0.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,-0.25,4
Marshall Islands,-0.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,-0.25,4
Marshall Islands,-0.5,Q20,The_site_visit_was_useful_to_me,-0.75,4
Marshall Islands,-0.5,Q21,SV_FS_me_feel_supported,-1.5,4
Marshall Islands,-0.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,-0.5,4
Marshall Islands,-0.5,Q23,I_felt_safe_in_my_home,0.75,4
Marshall Islands,-0.5,Q24,Q24_andI_felt_safe_in_my_community,1.25,4
Marshall Islands,-0.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,0.75,4
Marshall Islands,-0.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,0.75,4
Marshall Islands,-0.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.75,4
Marshall Islands,-0.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.25,4
Marshall Islands,-0.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.25,4
Marshall Islands,-0.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.25,4
Marshall Islands,-0.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1,4
Marshall Islands,-0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.5,4
Marshall Islands,-0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,-0.25,4
Marshall Islands,-0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,-0.75,4
Marshall Islands,-0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,-1,4
Marshall Islands,-0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,-0.5,4
Marshall Islands,-0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,-0.25,4
Marshall Islands,0.5,Q03,Vol_Resourceful,0.944444444,9
Marshall Islands,0.5,Q04,Vol_Patient,0.833333333,9
Marshall Islands,0.5,Q05,Vol_Culturally_Competent,1.055555556,9
Marshall Islands,0.5,Q06,Vol_Adaptable,1.166666667,9
Marshall Islands,0.5,Q07,Vol_Emotionally_Intelligent,1.055555556,9
Marshall Islands,0.5,Q08,Vol_Resilient,0.944444444,9
Marshall Islands,0.5,Q09,Professional_Learning_Communities,-0.777777778,9
Marshall Islands,0.5,Q10,The_Five_Step_Lesson_Plan_Template,0.222222222,9
Marshall Islands,0.5,Q11,Data_Analysis_Tool,-0.555555556,9
Marshall Islands,0.5,Q12,Professional_Development_Modules_Scholarly_Articles,-0.333333333,9
Marshall Islands,0.5,Q13,WorldTeachNet	Education,-0.666666667,9
Marshall Islands,0.5,Q14,FD_Was_accessible_and_eager_to_help,-0.222222222,9
Marshall Islands,0.5,Q15,FD_Responded_promptly_to_requests_for_help,0.222222222,9
Marshall Islands,0.5,Q16,FD_Anticipated_needs_of_volunteers,-0.333333333,9
Marshall Islands,0.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,0.222222222,9
Marshall Islands,0.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,0.111111111,9
Marshall Islands,0.5,Q20,The_site_visit_was_useful_to_me,-0.166666667,9
Marshall Islands,0.5,Q21,SV_FS_me_feel_supported,0.166666667,9
Marshall Islands,0.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,-0.055555556,9
Marshall Islands,0.5,Q23,I_felt_safe_in_my_home,0.888888889,9
Marshall Islands,0.5,Q24,Q24_andI_felt_safe_in_my_community,1,9
Marshall Islands,0.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,1,9
Marshall Islands,0.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,1.166666667,9
Marshall Islands,0.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.944444444,9
Marshall Islands,0.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.277777778,9
Marshall Islands,0.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.833333333,9
Marshall Islands,0.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.611111111,9
Marshall Islands,0.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1.166666667,9
Marshall Islands,0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.611111111,9
Marshall Islands,0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,0.166666667,9
Marshall Islands,0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,0.166666667,9
Marshall Islands,0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,-0.055555556,9
Marshall Islands,0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,-0.5,9
Marshall Islands,0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,-0.277777778,9
Marshall Islands,1.5,Q03,Vol_Resourceful,0.5,1
Marshall Islands,1.5,Q04,Vol_Patient,0.5,1
Marshall Islands,1.5,Q05,Vol_Culturally_Competent,1.5,1
Marshall Islands,1.5,Q06,Vol_Adaptable,1.5,1
Marshall Islands,1.5,Q07,Vol_Emotionally_Intelligent,0.5,1
Marshall Islands,1.5,Q08,Vol_Resilient,0.5,1
Marshall Islands,1.5,Q09,Professional_Learning_Communities,-0.5,1
Marshall Islands,1.5,Q10,The_Five_Step_Lesson_Plan_Template,0.5,1
Marshall Islands,1.5,Q11,Data_Analysis_Tool,0.5,1
Marshall Islands,1.5,Q12,Professional_Development_Modules_Scholarly_Articles,0.5,1
Marshall Islands,1.5,Q13,WorldTeachNet	Education,0.5,1
Marshall Islands,1.5,Q14,FD_Was_accessible_and_eager_to_help,1.5,1
Marshall Islands,1.5,Q15,FD_Responded_promptly_to_requests_for_help,1.5,1
Marshall Islands,1.5,Q16,FD_Anticipated_needs_of_volunteers,1.5,1
Marshall Islands,1.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,0.5,1
Marshall Islands,1.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,1.5,1
Marshall Islands,1.5,Q20,The_site_visit_was_useful_to_me,0.5,1
Marshall Islands,1.5,Q21,SV_FS_me_feel_supported,1.5,1
Marshall Islands,1.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,1.5,1
Marshall Islands,1.5,Q23,I_felt_safe_in_my_home,1.5,1
Marshall Islands,1.5,Q24,Q24_andI_felt_safe_in_my_community,1.5,1
Marshall Islands,1.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,1.5,1
Marshall Islands,1.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,1.5,1
Marshall Islands,1.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,1.5,1
Marshall Islands,1.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.5,1
Marshall Islands,1.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.5,1
Marshall Islands,1.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,1.5,1
Marshall Islands,1.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1.5,1
Marshall Islands,1.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,1.5,1
Marshall Islands,1.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,1.5,1
Marshall Islands,1.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,-1.5,1
Marshall Islands,1.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,1.5,1
Marshall Islands,1.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,1.5,1
Marshall Islands,1.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,0.5,1
Namibia,0.5,Q03,Vol_Resourceful,0.5,1
Namibia,0.5,Q04,Vol_Patient,0.5,1
Namibia,0.5,Q05,Vol_Culturally_Competent,0.5,1
Namibia,0.5,Q06,Vol_Adaptable,0.5,1
Namibia,0.5,Q07,Vol_Emotionally_Intelligent,0.5,1
Namibia,0.5,Q08,Vol_Resilient,0.5,1
Namibia,0.5,Q09,Professional_Learning_Communities,-0.5,1
Namibia,0.5,Q10,The_Five_Step_Lesson_Plan_Template,0.5,1
Namibia,0.5,Q11,Data_Analysis_Tool,-0.5,1
Namibia,0.5,Q12,Professional_Development_Modules_Scholarly_Articles,-0.5,1
Namibia,0.5,Q13,WorldTeachNet	Education,-0.5,1
Namibia,0.5,Q14,FD_Was_accessible_and_eager_to_help,1.5,1
Namibia,0.5,Q15,FD_Responded_promptly_to_requests_for_help,1.5,1
Namibia,0.5,Q16,FD_Anticipated_needs_of_volunteers,0.5,1
Namibia,0.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,0.5,1
Namibia,0.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,0.5,1
Namibia,0.5,Q20,The_site_visit_was_useful_to_me,0.5,1
Namibia,0.5,Q21,SV_FS_me_feel_supported,0.5,1
Namibia,0.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,0.5,1
Namibia,0.5,Q23,I_felt_safe_in_my_home,0.5,1
Namibia,0.5,Q24,Q24_andI_felt_safe_in_my_community,0.5,1
Namibia,0.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,0.5,1
Namibia,0.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,0.5,1
Namibia,0.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.5,1
Namibia,0.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,0.5,1
Namibia,0.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,-0.5,1
Namibia,0.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.5,1
Namibia,0.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1.5,1
Namibia,0.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.5,1
Namibia,0.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,0.5,1
Namibia,0.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,0.5,1
Namibia,0.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,0.5,1
Namibia,0.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,0.5,1
Namibia,0.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,0.5,1
Namibia,1.5,Q03,Vol_Resourceful,0.5,1
Namibia,1.5,Q04,Vol_Patient,1.5,1
Namibia,1.5,Q05,Vol_Culturally_Competent,0.5,1
Namibia,1.5,Q06,Vol_Adaptable,1.5,1
Namibia,1.5,Q07,Vol_Emotionally_Intelligent,0.5,1
Namibia,1.5,Q08,Vol_Resilient,1.5,1
Namibia,1.5,Q09,Professional_Learning_Communities,0.5,1
Namibia,1.5,Q10,The_Five_Step_Lesson_Plan_Template,0.5,1
Namibia,1.5,Q11,Data_Analysis_Tool,-0.5,1
Namibia,1.5,Q12,Professional_Development_Modules_Scholarly_Articles,-0.5,1
Namibia,1.5,Q13,WorldTeachNet	Education,-0.5,1
Namibia,1.5,Q14,FD_Was_accessible_and_eager_to_help,1.5,1
Namibia,1.5,Q15,FD_Responded_promptly_to_requests_for_help,1.5,1
Namibia,1.5,Q16,FD_Anticipated_needs_of_volunteers,0.5,1
Namibia,1.5,Q17,FD_Followed_through_on_administrative_site_or_housing_issues,1.5,1
Namibia,1.5,Q18,FD_Followed_through_on_administrative_site_or_housinFD_Kept_volunteers_informed_of_changes_and_relevant_informationg_issues,1.5,1
Namibia,1.5,Q20,The_site_visit_was_useful_to_me,0.5,1
Namibia,1.5,Q21,SV_FS_me_feel_supported,1.5,1
Namibia,1.5,Q22,SV_FS_gave_me_useful_and_professional_feedback,0.5,1
Namibia,1.5,Q23,I_felt_safe_in_my_home,1.5,1
Namibia,1.5,Q24,Q24_andI_felt_safe_in_my_community,0.5,1
Namibia,1.5,Q25,Q25_andI_felt_safe_in_my_country_of_service,0.5,1
Namibia,1.5,Q28,Q28_WorldTeacha_Offered_a_useful_service_to_the_host_country,0.5,1
Namibia,1.5,Q29,Q29_WorldTeachb_Gave_me_a_meaningful_teaching_experience,0.5,1
Namibia,1.5,Q30,Q30_WorldTeachc_Increased_my_understanding_of_another_culture,1.5,1
Namibia,1.5,Q31,Q31_WorldTeachd_Improved_my_skills_in_the_local_language,0.5,1
Namibia,1.5,Q32,Q32_WorldTeache_Helped_definechange_my_career_outlook,0.5,1
Namibia,1.5,Q33,Q33_WorldTeachf_Provided_a_worthwhile_experience,1.5,1
Namibia,1.5,Q34,Q34_useful_during_my_year_of_servicePredeparture_materials_and_assistance,0.5,1
Namibia,1.5,Q35,Q35_useful_during_my_year_of_serviceOrientation_and_incountry_training,1.5,1
Namibia,1.5,Q36,Q36_useful_during_my_year_of_serviceMidService_Conference,0.5,1
Namibia,1.5,Q37,Q37_useful_during_my_year_of_serviceIncountry_staff_support_and_communication_with_Field_Director,0.5,1
Namibia,1.5,Q38,Q38_useful_during_my_year_of_serviceSite_visitteaching_observation_by_Field_Director,0.5,1
Namibia,1.5,Q39,Q39_useful_during_my_year_of_serviceEndofService,0.5,1